"job_run_id","begin","end","execution_key"
"jr_d38da21d78d9ffcdb715bf2aa38112c89f5ed98ae4a499b9bead2bab01369eac","(2020, 12, 31, '2020-08-18T20:29:57.409295')","(2020, 12, 31, '2020-08-18T20:29:57.409295')","communication_events_raw.email_message_soft_bounced_v1_v2"
"jr_a8578c183465db1dc7f635af4d951a4c64e748b586afbe83078f9bd0e1fa6a3d","(2020, 8, 31, '2020-08-19 16:42:19 -0300')","(2020, 8, 31, '2020-08-19 16:42:19 -0300')","servicing_events_raw.billing_installment_paid_v1_v1"
"jr_905fa4e384a11cac53f006bd8b8a7d2e77a7d93fb085ce7d5ac76d022b654b80","(2020, 8, 31, '2020-08-19 16:42:19 -0300')","(2020, 8, 31, '2020-08-19 16:42:19 -0300')","servicing_events_raw.billing_installment_paid_v1_v1"
"jr_ee2638cd1d1a6b8fc111ece2d5d6d852cc214f20ddb9802cf21b2ff4d0b3e4c3","(2020, 12, 31, '2020-08-18T20:29:57.409295')","(2020, 12, 31, '2020-08-18T20:29:57.409295')","communication_events_raw.email_message_soft_bounced_v1_v2"
"jr_8ec949fe0bb3eb1a74e83fd05e280258571232ede001670aa7584ce038ec9497","(2020, 8, 31, '2020-08-19T11:04:04.871880-0300')","(2020, 8, 31, '2020-08-19T11:04:04.871880-0300')","data_events_raw.processing_probability_auto_params_validated_v3_v1"
"jr_02cb6c36d51443749d98346c8713d356a08766946e1d45d8bb3cfadf5480d0b5","(2020, 8, 31, '2020-08-19T11:04:04.871880-0300')","(2020, 8, 31, '2020-08-19T11:04:04.871880-0300')","data_events_raw.processing_probability_auto_params_validated_v3_v1"
"jr_cab28216955c42db01b2ecdb613488e897fe0fa5df27a85cbe58bfc68141c09b","(2020, 8, 31, '2020-08-19T11:04:04.871880-0300')","(2020, 8, 31, '2020-08-19T11:04:04.871880-0300')","data_events_raw.processing_probability_auto_params_validated_v3_v1"
"jr_227387f453b83bf5a7a3bcca58d1c84007ecb75f59cc771603def80f74964d02","(2020, 8, 31, '2020-08-19T09:49:07.147184-0300')","(2020, 8, 31, '2020-08-19T09:49:07.147184-0300')","data_events_raw.origination_probability_result_predicted_v2_v1"
"jr_e6fca5bfa63d61e6e17fd4eb00334e12532549f815c8f41160c4487a41b96b28","(2020, 8, 31, '2020-08-19T19:41:50.750585')","(2020, 8, 31, '2020-08-19T19:41:50.750585')","platform_events_raw.loan_application_step_created_v1_v2"
"jr_53276c86f8489d3274561a5d60193fbaf81dbae6ec727f911c498a0ebc5b61b1","(2020, 12, 31, '2020-08-18T20:29:57.409295')","(2020, 12, 31, '2020-08-18T20:29:57.409295')","communication_events_raw.email_message_soft_bounced_v1_v2"
"jr_227387f453b83bf5a7a3bcca58d1c84007ecb75f59cc771603def80f74964d02","(2020, 8, 31, '2020-08-19T09:19:03.950797-0300')","(2020, 8, 31, '2020-08-19T09:19:03.950797-0300')","data_events_raw.origination_probability_features_processed_v2_v1"
"jr_81c658411df7e5713bb87bd5d45a678f1a24806a7c3273bd3ea188fe78022a89","(2020, 8, 31, '2020-08-19T09:49:07.147184-0300')","(2020, 8, 31, '2020-08-19T09:49:07.147184-0300')","data_events_raw.origination_probability_result_predicted_v2_v1"
"jr_7e561507504e9cf643f6d03f865a706fdf497ed6798c10f54b7b0fc51ae64338","(2020, 8, 31, '2020-08-19T11:04:04.871880-0300')","(2020, 8, 31, '2020-08-19T11:04:04.871880-0300')","data_events_raw.processing_probability_auto_params_validated_v3_v1"
"jr_e3fd842ee2c9a05c3a471b41eafc198ee32e762886d0519b87718cdc6948b7c2","(2020, 8, 31, '2020-08-19T19:41:50.750585')","(2020, 8, 31, '2020-08-19T19:41:50.750585')","platform_events_raw.loan_application_step_created_v1_v2"
"jr_a8860997c7fd68c43a75668f8f1e6435d439badf85211b63d71a9a1dfa5316e9","(2020, 6, 29, '2020-06-29T11:38:20.329581-0300')","(2020, 6, 29, '2020-06-29T11:38:20.329581-0300')","data_events_raw.closing_probability_params_validated_v3_v1"
"jr_809d54e68c7412cb3b2803554ac42d28fd64bab00b00e9e1d6463636390cf27c","(2020, 8, 31, '2020-08-19T11:04:04.871880-0300')","(2020, 8, 31, '2020-08-19T11:04:04.871880-0300')","data_events_raw.processing_probability_auto_params_validated_v3_v1"
"jr_222f1676ab40f62e7c584b757820023123a4555ad3561ae6b9f870a67d547a6e","(2020, 8, 31, '2020-08-19 16:42:19 -0300')","(2020, 8, 31, '2020-08-19 16:42:19 -0300')","servicing_events_raw.billing_installment_paid_v1_v1"
"jr_81c658411df7e5713bb87bd5d45a678f1a24806a7c3273bd3ea188fe78022a89","(2020, 8, 31, '2020-08-19T09:19:03.950797-0300')","(2020, 8, 31, '2020-08-19T09:19:03.950797-0300')","data_events_raw.origination_probability_features_processed_v2_v1"
"jr_2ef12028890ec1444af3b81720b2425e229fef6bcb7b7242765243e76906c1e5","(2020, 8, 31, '2020-08-19T11:04:04.871880-0300')","(2020, 8, 31, '2020-08-19T11:04:04.871880-0300')","data_events_raw.processing_probability_auto_params_validated_v3_v1"
"jr_224caf3f3bfb6bfdd8061810a0e970e7ef80a3765143710d18408b410e7952e3","(2020, 8, 31, '2020-08-19 16:42:19 -0300')","(2020, 8, 31, '2020-08-19 16:42:19 -0300')","servicing_events_raw.billing_installment_paid_v1_v1"
"jr_4b7e8114b90271a312274abc73f9b8ca8e71f69d48cf43ace4e508471aa02bbb","(2020, 8, 31, '2020-08-19T19:41:50.750585')","(2020, 8, 31, '2020-08-19T19:41:50.750585')","platform_events_raw.loan_application_step_created_v1_v2"
"jr_227387f453b83bf5a7a3bcca58d1c84007ecb75f59cc771603def80f74964d02","(2020, 8, 31, '2020-08-19T11:04:04.871880-0300')","(2020, 8, 31, '2020-08-19T11:04:04.871880-0300')","data_events_raw.processing_probability_auto_params_validated_v3_v1"
"jr_e3fd842ee2c9a05c3a471b41eafc198ee32e762886d0519b87718cdc6948b7c2","(2020, 8, 31, '2020-08-19T11:04:04.871880-0300')","(2020, 8, 31, '2020-08-19T11:04:04.871880-0300')","data_events_raw.processing_probability_auto_params_validated_v3_v1"
"jr_eb032e28cd14b96bdca95d918d36d4c7dd6e9d6b25f9b691470ab6f3ca128b57","(2020, 12, 31, '2020-08-18T20:29:57.409295')","(2020, 12, 31, '2020-08-18T20:29:57.409295')","communication_events_raw.email_message_soft_bounced_v1_v2"
"jr_38454c09ffec4b36d0c9e37fad829631dea3705709f0bcf01d8f52d68d68143e","(2020, 6, 29, '2020-06-29T11:38:20.329581-0300')","(2020, 6, 29, '2020-06-29T11:38:20.329581-0300')","data_events_raw.closing_probability_params_validated_v3_v1"
"jr_550d52a7258565b7fc1fffa6a271a97ec109cf3c67568e509c49369f25ee4cc2","(2020, 12, 31, '2020-08-18T20:29:57.409295')","(2020, 12, 31, '2020-08-18T20:29:57.409295')","communication_events_raw.email_message_soft_bounced_v1_v2"
"jr_a8860997c7fd68c43a75668f8f1e6435d439badf85211b63d71a9a1dfa5316e9","(2020, 8, 31, '2020-08-19 16:42:19 -0300')","(2020, 8, 31, '2020-08-19 16:42:19 -0300')","servicing_events_raw.billing_installment_paid_v1_v1"
"jr_224caf3f3bfb6bfdd8061810a0e970e7ef80a3765143710d18408b410e7952e3","(2020, 8, 31, '2020-08-19T09:19:03.950797-0300')","(2020, 8, 31, '2020-08-19T09:19:03.950797-0300')","data_events_raw.origination_probability_features_processed_v2_v1"
"jr_cf7498d4b43eeb7538e52c9a21f7eafe38d0a95b7257aacf6ed11bca092d10a0","(2020, 8, 31, '2020-08-19T19:41:50.750585')","(2020, 8, 31, '2020-08-19T19:41:50.750585')","platform_events_raw.loan_application_step_created_v1_v2"
"jr_974380171b67916088f201690b03107800fa3c07290612bd1cb2d4acc0d05dcb","(2020, 8, 31, '2020-08-19T19:41:50.750585')","(2020, 8, 31, '2020-08-19T19:41:50.750585')","platform_events_raw.loan_application_step_created_v1_v2"
"jr_809d54e68c7412cb3b2803554ac42d28fd64bab00b00e9e1d6463636390cf27c","(2020, 8, 31, '2020-08-19T19:41:50.750585')","(2020, 8, 31, '2020-08-19T19:41:50.750585')","platform_events_raw.loan_application_step_created_v1_v2"
"jr_222f1676ab40f62e7c584b757820023123a4555ad3561ae6b9f870a67d547a6e","(2020, 8, 31, '2020-08-19T09:49:07.147184-0300')","(2020, 8, 31, '2020-08-19T09:49:07.147184-0300')","data_events_raw.origination_probability_result_predicted_v2_v1"
"jr_94b2f6d60300d27aaa7117d49e3e39d2333506d6afcb64e38375c33cc15740b9","(2020, 8, 31, '2020-08-19T19:41:50.750585')","(2020, 8, 31, '2020-08-19T19:41:50.750585')","platform_events_raw.loan_application_step_created_v1_v2"
"jr_15cc4e614f2125956fa8c780b9561b58484818d2e5258b116d238b97db2bfa11","(2020, 12, 31, '2020-08-18T20:29:57.409295')","(2020, 12, 31, '2020-08-18T20:29:57.409295')","communication_events_raw.email_message_soft_bounced_v1_v2"
