data_pos,ativo,saldo
2020-07-01,Forpus,"31,034.00"
2020-07-01,SMAL1,"7,567.00"
2020-07-01,THRA11 ,"7,918.90"
2020-07-01,PIBB11 ,"6,927.73"
2020-07-01,DIVO11 ,"10,792.00"
2020-07-01,BOVA11 ,"12,825.40"
2020-07-01,BRAX11,"2,375.40"
2020-07-01,PETR4,"4,250.00"
2020-07-01,SBSP3,"5,672.00"
2020-07-01,BBRC11,"4,635.00"
2020-07-01,HGCR11 ,"10,117.22"
2020-07-01,Previdencia Icatu,"5,913.62"
2020-07-01,JSRE11 ,"10,244.88"
2020-07-01,Trend Ouro FIM,"6,780.36"
2020-07-01,IPCA,"3,995.29"
2020-07-01,Occam Retorno Absoluto,"12,185.25"
2020-07-01,Cambial Dolar Votorantim,"8,599.79"
2020-07-01,Previdencia Itau,"12,381.34"
2020-07-01,Pre 2021,"1,523.38"
2020-07-01,Selic 2021,"3,195.77"
2020-07-01,Nubank,"21,389.37"
2020-07-01,USD,"5,390.00"
2020-06-01,SBSP3,"5,437.00"
2020-06-01,PETR4,"4,066.00"
2020-06-01,BRAX11,"2,250.00"
2020-06-01,PIBB11 ,"6,473.00"
2020-06-01,BOVA11 ,"12,047.00"
2020-06-01,Forpus,"27,435.38"
2020-06-01,HGCR11 ,"9,868.00"
2020-06-01,SMAL1,"6,778.00"
2020-06-01,DIVO11 ,"10,104.00"
2020-06-01,IPCA,"3,946.00"
2020-06-01,Previdencia Icatu,"5,744.00"
2020-06-01,Trend Ouro FIM,"6,645.00"
2020-06-01,Pre 2021,"1,519.00"
2020-06-01,Previdencia Itau,"12,316.00"
2020-06-01,Occam Retorno Absoluto,"12,075.00"
2020-06-01,Selic 2021,"3,189.00"
2020-06-01,Nubank,"21,354.82"
2020-06-01,THRA11 ,"7,144.00"
2020-06-01,JSRE11 ,"10,080.00"
2020-06-01,Cambial Dolar Votorantim,"8,539.00"
2020-06-01,USD,"5,300.00"
2020-05-01,SBSP3,"5,437.00"
2020-05-01,PETR4,"4,066.00"
2020-05-01,BRAX11,"2,250.00"
2020-05-01,PIBB11 ,"6,473.00"
2020-05-01,BOVA11 ,"12,047.00"
2020-05-01,Forpus,"27,435.38"
2020-05-01,HGCR11 ,"9,868.00"
2020-05-01,SMAL1,"6,778.00"
2020-05-01,DIVO11 ,"10,104.00"
2020-05-01,IPCA,"3,946.00"
2020-05-01,Previdencia Icatu,"5,744.00"
2020-05-01,Trend Ouro FIM,"6,645.00"
2020-05-01,Pre 2021,"1,519.00"
2020-05-01,Previdencia Itau,"12,316.00"
2020-05-01,Occam Retorno Absoluto,"12,075.00"
2020-05-01,Selic 2021,"3,189.00"
2020-05-01,Nubank,"21,354.82"
2020-05-01,THRA11 ,"7,144.00"
2020-05-01,JSRE11 ,"10,080.00"
2020-05-01,Cambial Dolar Votorantim,"8,539.00"
2020-05-01,USD,"5,300.00"
2020-04-01,PETR4,"3,602.00"
2020-04-01,SMAL1,"6,329.00"
